"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"A10xP19N126","P19N126","272107161","ASY","Unit_2","124",4437
"A10xP19N306","P19N306","278172160","ASY","Unit_2","64",9424
"A10xP19N386","P19N386","281128753","12","Unit_2","62",690
"A10xP19N461","P19N461","281128770","12","Unit_2","34",28
"A11xL19N006e","L19N006e",NA,"6","Turkey_Hill","3",70
"A11xP19N029","P19N029","88004570","ASY","Unit_2","121",465
"A11xP19N166","P19N166","278172413","SY","Unit_4","15",25945
"A11xP19N314","P19N314","278172287","AHY","Unit_2","85",4010
"A11xP19N427","P19N427","281128679","12","Unit_1","58",15160
"A12xL19N008d","L19N008d",NA,"6","Turkey_Hill","121",83
"A12xP19N036","P19N036","278171869","SY","Unit_2","8",38
"A12xP19N258","P19N258","278172405","SY","Turkey_Hill","134",4094
"A12xP19N321","P19N321","281128653","AHY","Unit_1","58",96253
"A12xP19N440","P19N440","281128442","12","Unit_2","54",5133
"A1xP19N128","P19N128","272106822","ASY","Unit_2","68",61
"A2xP19N139","P19N139","272107748","ASY","Unit_2","39",40
"A2xP19N423","P19N423","272108042","AHY","Unit_1","329",25982
"A3xP19N146","P19N146","278171879","AHY","Unit_2","54",163
"A4xP19N154","P19N154","278172166","AHY","Unit_2","20",843
"A5xP19N163","P19N163","281128601","SY","Unit_2","99",21961
"A6xP19N180","P19N180","272106628","AHY","Unit_1","47",20422
"A7xP19N196","P19N196","278172169","AHY","Unit_2","32",1047
"A8xP19N209","P19N209","88004754","ASY","Unit_2","29",63249
"A9xP19N224","P19N224","278172155","SY","Unit_2","15",65805
"B01xL19N010b","L19N010b",NA,"6","Unit_4","78",25486
"B01xP19N046","P19N046","278172153","SY","Unit_2","127",42392
"B01xP19N187","P19N187","278172168","12","Unit_2","35",53902
"B01xP19N295","P19N295","278172315","12","Unit_4","94",38205
"B01xP19N504","P19N504","281128778","12","Unit_2","50",15555
"B02xL19N011f","L19N011f",NA,"6","Unit_4","80",5014
"B02xP19N054","P19N054","212110281","ASY","Unit_1","315",42095
"B02xP19N302","P19N302","278172430","12","Turkey_Hill","3",26382
"B02xP19N447","P19N447","281128533","12","Unit_2","99",12862
"B02xP19N512","P19N512","281128774","15","Unit_2","119",159
"B03xL19N015a","L19N015a",NA,"6","Unit_4","93",44154
"B03xP19N132","P19N132","281128710","12","Unit_2","111",44252
"B03xP19N271","P19N271","278171885","15","Unit_2","68",114
"B03xP19N332","P19N332","278172442","12","Turkey_Hill","121",17989
"B03xP19N458","P19N458","281128763","15","Unit_2","57",32
"B04xL19N017c","L19N017c",NA,"6","Turkey_Hill","97",25441
"B04xP19N076","P19N076","272107855","SY","Unit_2","62",7902
"B04xP19N283","P19N283","281128731","15","Unit_2","80",24317
"B04xP19N360","P19N360","278172451","12","Unit_4","78",21002
"B04xP19N469","P19N469","281128443","15","Unit_2","54",64
"B05xP19N290","P19N290","278172285","12","Unit_1","47",23582
"B05xP19N375","P19N375","278172461","12","Unit_4","87",24860
"B05xP19N412","P19N412","281128508","15","Unit_2","3",15958
"B05xP19N476","P19N476","281128532","15","Unit_2","99",52
"B06xP19N133","P19N133","281128711","12","Unit_2","111",75424
"B06xP19N223","P19N223","278171883","12","Unit_2","68",131
"B06xP19N394","P19N394","278172327","12","Turkey_Hill","86",14591
"B06xP19N425","P19N425","281128677","12","Unit_1","58",14611
"B06xP19N487","P19N487","278172296","12","Unit_2","14",54
"B07xP19N107","P19N107","88004754","ASY","Unit_2","29",35809
"B07xP19N231","P19N231","278172263","12","Unit_1","421",169
"B07xP19N337","P19N337","281128809","12","Unit_2","75",3309
"B07xP19N402","P19N402","278172474","12","Unit_4","71",29096
"B07xP19N502","P19N502","281128775","12","Unit_2","119",3673
"B08xP19N002","P19N002","272107786","ASY","Unit_2","103",11757
"B08xP19N115","P19N115","278171896","SY","Unit_2","78",4011
"B08xP19N239","P19N239","281128725","15","Unit_2","103",62
"B08xP19N348","P19N348","281128750","12","Unit_2","29",3765
"B08xP19N438","P19N438","278172486","12","Unit_4","95",21895
"B09xL19N007c","L19N007c",NA,"6","Turkey_Hill","106",79
"B09xP19N011","P19N011","278172148","SY","Unit_2","93",37289
"B09xP19N024","P19N024","240134898","ASY","Unit_4","97",14239
"B09xP19N027","P19N027","278172401","ASY","Turkey_Hill","106",13880
"B09xP19N380","P19N380","281128502","15","Unit_2","41",13351
"B10xL19N005b","L19N005b",NA,"6","Unit_4","94",1805
"B10xP19N081","P19N081","272107842","ASY","Turkey_Hill","55",25890
"B10xP19N251","P19N251","281128733","12","Unit_2","20",54138
"B10xP19N307","P19N307","272107774","AHY","Unit_2","64",12827
"B10xP19N387","P19N387","281128757","12","Unit_2","105",12282
"B10xP19N462","P19N462","281128771","12","Unit_2","34",35
"B11xL19N007a","L19N007a",NA,"6","Turkey_Hill","106",3652
"B11xP19N030","P19N030","278172100","SY","Unit_1","437",26369
